Street,Street condition score,Group,Ward
MITERDALE,1.06,Poor (<75),Dringhouses & Woodthorpe Ward
MOOR LANE,87.17,Fair (75-89),Dringhouses & Woodthorpe Ward
MOORCROFT ROAD,51.06,Poor (<75),Dringhouses & Woodthorpe Ward
MOORLEA AVENUE,17.99,Poor (<75),Dringhouses & Woodthorpe Ward
NAIRN CLOSE,83.53,Fair (75-89),Dringhouses & Woodthorpe Ward
NELSONS LANE,84.13,Fair (75-89),Dringhouses & Woodthorpe Ward
NEVIS WAY,84.90,Fair (75-89),Dringhouses & Woodthorpe Ward
NIDD GROVE,0.00,Poor (<75),Dringhouses & Woodthorpe Ward
NORTH LANE,78.40,Fair (75-89),Dringhouses & Woodthorpe Ward
OLD MOOR LANE,39.35,Poor (<75),Dringhouses & Woodthorpe Ward
ORCHARD CLOSE,53.14,Poor (<75),Dringhouses & Woodthorpe Ward
ORCHARD WAY,48.16,Poor (<75),Dringhouses & Woodthorpe Ward
ORRIN CLOSE,77.27,Fair (75-89),Dringhouses & Woodthorpe Ward
OVERDALE CLOSE,93.98,Good (90-94),Dringhouses & Woodthorpe Ward
PRINCIPAL RISE,94.06,Good (90-94),Dringhouses & Woodthorpe Ward
PULLEYN DRIVE,51.24,Poor (<75),Dringhouses & Woodthorpe Ward
QUAKER GREEN,69.39,Poor (<75),Dringhouses & Woodthorpe Ward
RAILWAY VIEW,31.68,Poor (<75),Dringhouses & Woodthorpe Ward
REGENCY MEWS,52.97,Poor (<75),Dringhouses & Woodthorpe Ward
ROAD A1237 FROM ASKHAM BRYAN LANE TO BROAD LANE,92.54,Good (90-94),Dringhouses & Woodthorpe Ward
ROAD A1237 FROM ASKHAM FIELDS LANE ROUNDABOUT TO ASKHAM BRYAN LANE,95.05,Excellent (95-100),Dringhouses & Woodthorpe Ward
ROYAL CHASE,78.41,Fair (75-89),Dringhouses & Woodthorpe Ward
RYECROFT AVENUE,55.65,Poor (<75),Dringhouses & Woodthorpe Ward
SANDCROFT CLOSE,39.77,Poor (<75),Dringhouses & Woodthorpe Ward
SANDCROFT ROAD,68.33,Poor (<75),Dringhouses & Woodthorpe Ward
SANDMARTIN COURT,71.40,Poor (<75),Dringhouses & Woodthorpe Ward
SHERRINGHAM DRIVE,77.00,Fair (75-89),Dringhouses & Woodthorpe Ward
SILVERDALE COURT,76.53,Fair (75-89),Dringhouses & Woodthorpe Ward
SIM BALK LANE,77.90,Fair (75-89),Dringhouses & Woodthorpe Ward
SKIDDAW,41.31,Poor (<75),Dringhouses & Woodthorpe Ward
SLINGSBY GROVE,14.23,Poor (<75),Dringhouses & Woodthorpe Ward
SOUTHFIELD CRESCENT,15.08,Poor (<75),Dringhouses & Woodthorpe Ward
SPEY BANK,88.00,Fair (75-89),Dringhouses & Woodthorpe Ward
ST EDWARDS CLOSE,79.27,Fair (75-89),Dringhouses & Woodthorpe Ward
ST GEORGES PLACE,9.93,Poor (<75),Dringhouses & Woodthorpe Ward
ST HELENS ROAD,63.98,Poor (<75),Dringhouses & Woodthorpe Ward
ST JAMES CROFT,87.52,Fair (75-89),Dringhouses & Woodthorpe Ward
ST JAMES PLACE,69.91,Poor (<75),Dringhouses & Woodthorpe Ward
STONETHWAITE,8.55,Poor (<75),Dringhouses & Woodthorpe Ward
SUMMERFIELD ROAD,78.62,Fair (75-89),Dringhouses & Woodthorpe Ward
SWALE AVENUE,18.85,Poor (<75),Dringhouses & Woodthorpe Ward
TADCASTER ROAD,94.23,Good (90-94),Dringhouses & Woodthorpe Ward
TEACHERS CLOSE,96.98,Excellent (95-100),Dringhouses & Woodthorpe Ward
THANET ROAD,78.23,Fair (75-89),Dringhouses & Woodthorpe Ward
THE COVERT,48.57,Poor (<75),Dringhouses & Woodthorpe Ward
THE GROVE,84.67,Fair (75-89),Dringhouses & Woodthorpe Ward
THE HORSESHOE,95.40,Excellent (95-100),Dringhouses & Woodthorpe Ward
THE PASTURES,82.01,Fair (75-89),Dringhouses & Woodthorpe Ward
THE SPINNEY,91.21,Good (90-94),Dringhouses & Woodthorpe Ward
TORRIDON PLACE,97.79,Excellent (95-100),Dringhouses & Woodthorpe Ward
TRENT WAY,95.31,Excellent (95-100),Dringhouses & Woodthorpe Ward
TROUTBECK,84.26,Fair (75-89),Dringhouses & Woodthorpe Ward
TURNMIRE ROAD,94.56,Good (90-94),Dringhouses & Woodthorpe Ward
ULLSWATER,93.01,Good (90-94),Dringhouses & Woodthorpe Ward
WAINS GROVE,88.63,Fair (75-89),Dringhouses & Woodthorpe Ward
WAINS ROAD,96.94,Excellent (95-100),Dringhouses & Woodthorpe Ward
WANSBECK,80.54,Fair (75-89),Dringhouses & Woodthorpe Ward
WEDDALL CLOSE,70.44,Poor (<75),Dringhouses & Woodthorpe Ward
WEST THORPE,97.51,Excellent (95-100),Dringhouses & Woodthorpe Ward
WHARFE DRIVE,92.95,Good (90-94),Dringhouses & Woodthorpe Ward
WHIN CLOSE,28.51,Poor (<75),Dringhouses & Woodthorpe Ward
WHIN GARTH,68.80,Poor (<75),Dringhouses & Woodthorpe Ward
WHIN ROAD,75.81,Fair (75-89),Dringhouses & Woodthorpe Ward
WHITE HOUSE DALE,11.62,Poor (<75),Dringhouses & Woodthorpe Ward
WHITE HOUSE DRIVE,63.69,Poor (<75),Dringhouses & Woodthorpe Ward
WHITE HOUSE RISE,63.25,Poor (<75),Dringhouses & Woodthorpe Ward
WINDERMERE,98.82,Excellent (95-100),Dringhouses & Woodthorpe Ward
WORDSWORTH CRESCENT,89.79,Fair (75-89),Dringhouses & Woodthorpe Ward
ALMA GROVE,82.21,Fair (75-89),Fishergate Ward
ALMA TERRACE,71.62,Poor (<75),Fishergate Ward
ALNE TERRACE,7.48,Poor (<75),Fishergate Ward
AMBROSE STREET,93.28,Good (90-94),Fishergate Ward
ANSON DRIVE,69.60,Poor (<75),Fishergate Ward
APOLLO COURT,70.56,Poor (<75),Fishergate Ward
APOLLO STREET,15.69,Poor (<75),Fishergate Ward
BACK LANE BETWEEN ALMA TERRACE AND FRANCES STREET,28.67,Poor (<75),Fishergate Ward
BACK LANE BETWEEN FRANCES STREET AND AMBROSE STREET,16.57,Poor (<75),Fishergate Ward
BARBICAN MEWS,92.42,Good (90-94),Fishergate Ward
BARBICAN ROAD,97.01,Excellent (95-100),Fishergate Ward
BARMBY AVENUE,57.06,Poor (<75),Fishergate Ward
BELLE VUE STREET,68.29,Poor (<75),Fishergate Ward
BELLE VUE TERRACE,62.75,Poor (<75),Fishergate Ward
BLUE BRIDGE LANE,78.11,Fair (75-89),Fishergate Ward
BROADWAY,87.16,Fair (75-89),Fishergate Ward
BROADWAY WEST,78.86,Fair (75-89),Fishergate Ward
CAREY STREET,45.11,Poor (<75),Fishergate Ward
CEMETERY ROAD,90.64,Good (90-94),Fishergate Ward
CORNWALL DRIVE,73.74,Poor (<75),Fishergate Ward
CROSSLANDS ROAD,14.65,Poor (<75),Fishergate Ward
DANESMEAD CLOSE,76.42,Fair (75-89),Fishergate Ward
DANUM DRIVE,60.56,Poor (<75),Fishergate Ward
DANUM ROAD,65.37,Poor (<75),Fishergate Ward
DAYSFOOT COURT,50.59,Poor (<75),Fishergate Ward
DERWENT ROAD,71.15,Poor (<75),Fishergate Ward
DEVON PLACE,53.05,Poor (<75),Fishergate Ward
ENDFIELDS ROAD,47.12,Poor (<75),Fishergate Ward
ESCRICK STREET,87.85,Fair (75-89),Fishergate Ward
FARNDALE STREET,81.59,Fair (75-89),Fishergate Ward
FARRAR STREET,71.86,Poor (<75),Fishergate Ward
FAWCETT STREET,91.08,Good (90-94),Fishergate Ward
FAWCETT STREET,99.80,Excellent (95-100),Fishergate Ward
FEWSTER WAY,88.35,Fair (75-89),Fishergate Ward
FISHERGATE,95.98,Excellent (95-100),Fishergate Ward
FOOTPATH FROM 36 NICHOLAS GARDENS TO MAIN ROAD NICHOLAS GARDENS,84.34,Fair (75-89),Fishergate Ward
FRANCES STREET,91.88,Good (90-94),Fishergate Ward
FULFORD CROSS,62.60,Poor (<75),Fishergate Ward
FULFORD ROAD,89.61,Fair (75-89),Fishergate Ward
GARTHS END,24.08,Poor (<75),Fishergate Ward
GORDON STREET,94.26,Good (90-94),Fishergate Ward
GRANGE GARTH,77.63,Fair (75-89),Fishergate Ward
GRANGE STREET,98.67,Excellent (95-100),Fishergate Ward
GRANTS AVENUE,40.49,Poor (<75),Fishergate Ward
GREEN DYKES LANE,74.56,Poor (<75),Fishergate Ward
HARTOFT STREET,54.56,Poor (<75),Fishergate Ward
HESLINGTON ROAD,84.11,Fair (75-89),Fishergate Ward
HORSMAN AVENUE,59.54,Poor (<75),Fishergate Ward
HOSPITAL FIELDS ROAD,73.44,Poor (<75),Fishergate Ward
HOWARD STREET,69.10,Poor (<75),Fishergate Ward
HULL ROAD,95.46,Excellent (95-100),Fishergate Ward
KENT STREET,95.27,Excellent (95-100),Fishergate Ward
KEXBY AVENUE,85.97,Fair (75-89),Fishergate Ward
KILBURN ROAD,45.35,Poor (<75),Fishergate Ward
LASTINGHAM TERRACE,54.29,Poor (<75),Fishergate Ward
LAWRENCE STREET,87.15,Fair (75-89),Fishergate Ward
LESLEY AVENUE,79.95,Fair (75-89),Fishergate Ward
LEVISHAM STREET,53.36,Poor (<75),Fishergate Ward
LOVE LANE,70.73,Poor (<75),Fishergate Ward
MAPLE GROVE,58.14,Poor (<75),Fishergate Ward
MARLBOROUGH GROVE,76.84,Fair (75-89),Fishergate Ward
MELBOURNE STREET,82.78,Fair (75-89),Fishergate Ward
MOORLAND ROAD,87.22,Fair (75-89),Fishergate Ward
NEW WALK TERRACE,83.53,Fair (75-89),Fishergate Ward
NICHOLAS GARDENS,83.41,Fair (75-89),Fishergate Ward
NORWAY DRIVE,81.00,Fair (75-89),Fishergate Ward
PARAGON STREET,94.71,Good (90-94),Fishergate Ward
REGENT STREET,80.24,Fair (75-89),Fishergate Ward
ROSEDALE STREET,65.84,Poor (<75),Fishergate Ward
SANDRINGHAM STREET,83.63,Fair (75-89),Fishergate Ward
SKELDERGATE BRIDGE,62.34,Poor (<75),Fishergate Ward
THE LINK,37.12,Poor (<75),Fishergate Ward
THIEF LANE,77.14,Fair (75-89),Fishergate Ward
TOWER STREET,95.51,Excellent (95-100),Fishergate Ward
UNIVERSITY ROAD,59.34,Poor (<75),Fishergate Ward
WELLINGTON STREET,44.21,Poor (<75),Fishergate Ward
WELWYN DRIVE,33.95,Poor (<75),Fishergate Ward
WENLOCK TERRACE,49.17,Poor (<75),Fishergate Ward
WESTFIELD DRIVE,58.19,Poor (<75),Fishergate Ward
WILLIAM COURT,90.08,Good (90-94),Fishergate Ward
WILLIAM PLOWS AVENUE,56.31,Poor (<75),Fishergate Ward
WILLIS STREET,77.81,Fair (75-89),Fishergate Ward
WINTERSCALE STREET,43.74,Poor (<75),Fishergate Ward
WOLSLEY STREET,83.19,Fair (75-89),Fishergate Ward
ANSON DRIVE,97.82,Excellent (95-100),Fulford & Heslington Ward
ATCHERLEY CLOSE,59.32,Poor (<75),Fulford & Heslington Ward
BARMBY AVENUE,35.59,Poor (<75),Fulford & Heslington Ward
BROADWAY,89.09,Fair (75-89),Fulford & Heslington Ward
BROADWAY GROVE,39.58,Poor (<75),Fulford & Heslington Ward
CHERRY WOOD CRESCENT,32.61,Poor (<75),Fulford & Heslington Ward
COMMON LANE,61.88,Poor (<75),Fulford & Heslington Ward
CROSSFIELD CRESCENT,5.94,Poor (<75),Fulford & Heslington Ward
DELWOOD,47.52,Poor (<75),Fulford & Heslington Ward
EASTWARD AVENUE,33.56,Poor (<75),Fulford & Heslington Ward
ELIOT COURT,86.21,Fair (75-89),Fulford & Heslington Ward
FIELD LANE,96.55,Excellent (95-100),Fulford & Heslington Ward
FORDLANDS CRESCENT,13.97,Poor (<75),Fulford & Heslington Ward
FORDLANDS ROAD,72.07,Poor (<75),Fulford & Heslington Ward
FULFORD MEWS,33.60,Poor (<75),Fulford & Heslington Ward
FULFORD PARK,93.09,Good (90-94),Fulford & Heslington Ward
FULFORD ROAD,72.86,Poor (<75),Fulford & Heslington Ward
FULFORDGATE,73.15,Poor (<75),Fulford & Heslington Ward
GRANTS AVENUE,54.59,Poor (<75),Fulford & Heslington Ward
HALL PARK,85.55,Fair (75-89),Fulford & Heslington Ward
HEATH CROFT,22.15,Poor (<75),Fulford & Heslington Ward
HEATH MOOR DRIVE,95.65,Excellent (95-100),Fulford & Heslington Ward
HESLINGTON COURT,94.95,Good (90-94),Fulford & Heslington Ward
HESLINGTON CROFT,75.30,Fair (75-89),Fulford & Heslington Ward
HESLINGTON LANE,78.89,Fair (75-89),Fulford & Heslington Ward
HESLINGTON LANE,85.29,Fair (75-89),Fulford & Heslington Ward
HOLBURNS CROFT,97.83,Excellent (95-100),Fulford & Heslington Ward
KEY WAY,71.23,Poor (<75),Fulford & Heslington Ward
LANDING LANE,62.45,Poor (<75),Fulford & Heslington Ward
LANGWITH STRAY,25.12,Poor (<75),Fulford & Heslington Ward
LINGCROFT LANE TO CROCKEY HILL,99.55,Excellent (95-100),Fulford & Heslington Ward
LONG LANE,52.46,Poor (<75),Fulford & Heslington Ward
LOVE LANE,86.37,Fair (75-89),Fulford & Heslington Ward
LOW LANE,56.60,Poor (<75),Fulford & Heslington Ward
LOW MOOR AVENUE,98.31,Excellent (95-100),Fulford & Heslington Ward
MAIN STREET,79.41,Fair (75-89),Fulford & Heslington Ward
MAIN STREET,80.85,Fair (75-89),Fulford & Heslington Ward
NABURN LANE,96.70,Excellent (95-100),Fulford & Heslington Ward
NABURN LANE,92.56,Good (90-94),Fulford & Heslington Ward
OX CLOSE LANE,50.15,Poor (<75),Fulford & Heslington Ward
PASTURE FARM CLOSE,81.96,Fair (75-89),Fulford & Heslington Ward
PROSPECT TERRACE,95.93,Excellent (95-100),Fulford & Heslington Ward
SCHOOL LANE,61.94,Poor (<75),Fulford & Heslington Ward
SCHOOL LANE,27.26,Poor (<75),Fulford & Heslington Ward
SELBY ROAD,88.58,Fair (75-89),Fulford & Heslington Ward
SELBY ROAD TO LINGCROFT LANE,94.99,Good (90-94),Fulford & Heslington Ward
ST OSWALDS ROAD,80.98,Fair (75-89),Fulford & Heslington Ward
THE CRESCENT,83.96,Fair (75-89),Fulford & Heslington Ward
THE OLD ORCHARD,71.37,Poor (<75),Fulford & Heslington Ward
THE OUTGANG,80.25,Fair (75-89),Fulford & Heslington Ward
TILMIRE CLOSE,93.29,Good (90-94),Fulford & Heslington Ward
UNIVERSITY ROAD,87.66,Fair (75-89),Fulford & Heslington Ward
WALNUT CLOSE,45.24,Poor (<75),Fulford & Heslington Ward
WHELDRAKE LANE,95.46,Excellent (95-100),Fulford & Heslington Ward
ABBOT STREET,65.69,Poor (<75),Guildhall Ward
AGAR STREET,11.69,Poor (<75),Guildhall Ward
ALBERT STREET,24.65,Poor (<75),Guildhall Ward
ALDWARK,6.12,Poor (<75),Guildhall Ward
ALEXANDRA COURT,41.62,Poor (<75),Guildhall Ward
AMBER STREET,24.95,Poor (<75),Guildhall Ward
ARTHUR STREET,55.84,Poor (<75),Guildhall Ward
BACK LANE BETWEEN 40 TO 64 HUNTINGTON ROAD FROM GLADSTONE STREET TO DENNISON STREET,76.43,Fair (75-89),Guildhall Ward
BACK LANE FROM ADJACENT 4 TO REAR OF 18 FEVERSHAM CRESCENT,86.80,Fair (75-89),Guildhall Ward
BACK LANE FROM OPPOSITE 13 GRANVILLE TERRACE TO OPPOSITE 21 LANSDOWNE TERRACE,47.92,Poor (<75),Guildhall Ward
BACKHOUSE STREET,57.33,Poor (<75),Guildhall Ward
BARBICAN ROAD,87.59,Fair (75-89),Guildhall Ward
BELGRAVE STREET,50.29,Poor (<75),Guildhall Ward
BLAKE STREET,20.18,Poor (<75),Guildhall Ward
BOOTHAM,94.06,Good (90-94),Guildhall Ward
BOOTHAM ROW,10.55,Poor (<75),Guildhall Ward
BOOTHAM SQUARE,32.18,Poor (<75),Guildhall Ward
BOWLING GREEN LANE,36.97,Poor (<75),Guildhall Ward
BRIGGS STREET,68.77,Poor (<75),Guildhall Ward
BRINKWORTH TERRACE,28.19,Poor (<75),Guildhall Ward
BROOK STREET,73.52,Poor (<75),Guildhall Ward
BROWNLOW STREET,80.09,Fair (75-89),Guildhall Ward
BULL LANE,30.36,Poor (<75),Guildhall Ward
CASTLEGATE,54.16,Poor (<75),Guildhall Ward
CHAPEL ROW,29.97,Poor (<75),Guildhall Ward
CHARLOTTE STREET,19.12,Poor (<75),Guildhall Ward
CHAUCER STREET,51.87,Poor (<75),Guildhall Ward
CHURCH STREET,67.77,Poor (<75),Guildhall Ward
CLAREMONT TERRACE,57.08,Poor (<75),Guildhall Ward
CLARENCE STREET,92.59,Good (90-94),Guildhall Ward
CLARENCE STREET,90.34,Good (90-94),Guildhall Ward
CLIFFORD STREET,80.23,Fair (75-89),Guildhall Ward
CLOISTER WALK,100.00,Excellent (95-100),Guildhall Ward
CLOISTERS WALK,98.91,Excellent (95-100),Guildhall Ward
COLE STREET,86.03,Fair (75-89),Guildhall Ward
COLLIERGATE,76.63,Fair (75-89),Guildhall Ward
COPPERGATE,82.75,Fair (75-89),Guildhall Ward
CRICHTON AVENUE,69.33,Poor (<75),Guildhall Ward
CUMBERLAND STREET,0.82,Poor (<75),Guildhall Ward
DEANGATE,38.09,Poor (<75),Guildhall Ward
DEL PYKE,86.38,Fair (75-89),Guildhall Ward
DENNIS STREET,35.58,Poor (<75),Guildhall Ward
DENNISON STREET,92.29,Good (90-94),Guildhall Ward
DIAMOND STREET,63.99,Poor (<75),Guildhall Ward
DIXONS YARD,70.30,Poor (<75),Guildhall Ward
DUDLEY STREET,26.58,Poor (<75),Guildhall Ward
DUNCOMBE PLACE,69.27,Poor (<75),Guildhall Ward
EARLE STREET,96.58,Excellent (95-100),Guildhall Ward
EBORACUM WAY,89.91,Fair (75-89),Guildhall Ward
ELDON STREET,45.64,Poor (<75),Guildhall Ward
ELDON TERRACE,66.55,Poor (<75),Guildhall Ward
ELVINGTON TERRACE,9.78,Poor (<75),Guildhall Ward
EMERALD STREET,52.78,Poor (<75),Guildhall Ward
ESPLANADE COURT,98.83,Excellent (95-100),Guildhall Ward
FERN STREET,55.48,Poor (<75),Guildhall Ward
FEVERSHAM CRESCENT,70.90,Poor (<75),Guildhall Ward
FIELDSIDE PLACE,97.62,Excellent (95-100),Guildhall Ward
FISHERGATE,93.86,Good (90-94),Guildhall Ward
FOSS BANK,96.15,Excellent (95-100),Guildhall Ward
FOSS ISLANDS LINK ROAD,73.30,Poor (<75),Guildhall Ward
FOSS ISLANDS ROAD,90.64,Good (90-94),Guildhall Ward
FOSSGATE,85.75,Fair (75-89),Guildhall Ward
FOSSGATE,73.78,Poor (<75),Guildhall Ward
FOUNTAYNE STREET,75.14,Fair (75-89),Guildhall Ward
FREDERICK STREET,99.76,Excellent (95-100),Guildhall Ward
GARDEN STREET,79.63,Fair (75-89),Guildhall Ward
GEORGE COURT,87.35,Fair (75-89),Guildhall Ward
GEORGE STREET,41.46,Poor (<75),Guildhall Ward
GILLYGATE,88.07,Fair (75-89),Guildhall Ward
GLADSTONE STREET,69.31,Poor (<75),Guildhall Ward
GOODRAMGATE,60.88,Poor (<75),Guildhall Ward
GOODRAMGATE,60.03,Poor (<75),Guildhall Ward
GRANVILLE TERRACE,57.84,Poor (<75),Guildhall Ward
GREENFIELDS,87.60,Fair (75-89),Guildhall Ward
HALLFIELD ROAD,64.30,Poor (<75),Guildhall Ward
HAMBLETON TERRACE,93.30,Good (90-94),Guildhall Ward
HANSOM PLACE,73.11,Poor (<75),Guildhall Ward
HAXBY ROAD,94.95,Good (90-94),Guildhall Ward
HAXBY ROAD,98.83,Excellent (95-100),Guildhall Ward
HAXBY ROAD,99.66,Excellent (95-100),Guildhall Ward
HERBERT STREET,79.30,Fair (75-89),Guildhall Ward
HETHERTON STREET,99.56,Excellent (95-100),Guildhall Ward
HEWORTH GREEN,72.14,Poor (<75),Guildhall Ward
HIGH NEWBIGGIN STREET,96.86,Excellent (95-100),Guildhall Ward
HIGH PETERGATE,69.48,Poor (<75),Guildhall Ward
HILDA STREET,75.47,Fair (75-89),Guildhall Ward
HOPE STREET,53.47,Poor (<75),Guildhall Ward
HUNGATE,86.80,Fair (75-89),Guildhall Ward
HUNTINGTON MEWS,75.12,Fair (75-89),Guildhall Ward
HUNTINGTON ROAD,97.04,Excellent (95-100),Guildhall Ward
HURSTS YARD,54.29,Poor (<75),Guildhall Ward
JACKSON STREET,17.87,Poor (<75),Guildhall Ward
JAMES STREET,89.21,Fair (75-89),Guildhall Ward
JEWBURY,98.08,Excellent (95-100),Guildhall Ward
KINGS SQUARE,96.88,Excellent (95-100),Guildhall Ward
KINGS STAITH,0.00,Poor (<75),Guildhall Ward
LANSDOWNE TERRACE,74.06,Poor (<75),Guildhall Ward
LAWRENCE STREET,80.80,Fair (75-89),Guildhall Ward
LAYERTHORPE,73.24,Poor (<75),Guildhall Ward
LEAD MILL LANE,62.57,Poor (<75),Guildhall Ward
LEAKE STREET,44.83,Poor (<75),Guildhall Ward
LENDAL,62.54,Poor (<75),Guildhall Ward
LOCKWOOD STREET,98.81,Excellent (95-100),Guildhall Ward
LONG CLOSE LANE,56.77,Poor (<75),Guildhall Ward
LORD MAYORS WALK,92.47,Good (90-94),Guildhall Ward
LOW OUSEGATE,93.08,Good (90-94),Guildhall Ward
LOW PETERGATE,55.03,Poor (<75),Guildhall Ward
LOWER FRIARGATE,10.42,Poor (<75),Guildhall Ward
LOWTHER STREET,78.18,Fair (75-89),Guildhall Ward
MANOR COURT,92.06,Good (90-94),Guildhall Ward
MANSFIELD STREET,1.20,Poor (<75),Guildhall Ward
MAPLEHURST AVENUE,95.02,Excellent (95-100),Guildhall Ward
MARCH STREET,99.49,Excellent (95-100),Guildhall Ward
MARGARET STREET,49.67,Poor (<75),Guildhall Ward
MARKHAM CRESCENT,48.75,Poor (<75),Guildhall Ward
MARKHAM STREET,73.07,Poor (<75),Guildhall Ward
MARYGATE,99.39,Excellent (95-100),Guildhall Ward
MARYGATE LANE,98.55,Excellent (95-100),Guildhall Ward
MERCHANTGATE,75.34,Fair (75-89),Guildhall Ward
MILL STREET,61.46,Poor (<75),Guildhall Ward
MILTON STREET,66.51,Poor (<75),Guildhall Ward
MINSTER YARD,31.21,Poor (<75),Guildhall Ward
MONKGATE,92.36,Good (90-94),Guildhall Ward
MONKGATE CLOISTERS,100.00,Excellent (95-100),Guildhall Ward
MURROUGH WILSON PLACE,82.83,Fair (75-89),Guildhall Ward
MUSEUM STREET,63.58,Poor (<75),Guildhall Ward
NAVIGATION ROAD,53.84,Poor (<75),Guildhall Ward
NELSON STREET,59.06,Poor (<75),Guildhall Ward
NESSGATE,97.62,Excellent (95-100),Guildhall Ward
NEVILLE STREET,57.91,Poor (<75),Guildhall Ward
NEVILLE TERRACE,57.17,Poor (<75),Guildhall Ward
NEWBY TERRACE,80.19,Fair (75-89),Guildhall Ward
NICHOLAS STREET,64.83,Poor (<75),Guildhall Ward
OGLEFORTH,0.26,Poor (<75),Guildhall Ward
OLYMPIAN COURT,96.96,Excellent (95-100),Guildhall Ward
PARAGON STREET,97.61,Excellent (95-100),Guildhall Ward
PARK CRESCENT,21.90,Poor (<75),Guildhall Ward
PARK GROVE,97.62,Excellent (95-100),Guildhall Ward
PAVEMENT,94.73,Good (90-94),Guildhall Ward
PEASHOLME GREEN,80.71,Fair (75-89),Guildhall Ward
PECKITT STREET,91.73,Good (90-94),Guildhall Ward
PENLEYS GROVE STREET,77.98,Fair (75-89),Guildhall Ward
PERCYS LANE,80.20,Fair (75-89),Guildhall Ward
PICCADILLY,59.31,Poor (<75),Guildhall Ward
PILGRIM STREET,94.50,Good (90-94),Guildhall Ward
PORTLAND STREET,53.37,Poor (<75),Guildhall Ward
PRECENTORS COURT,36.41,Poor (<75),Guildhall Ward
RAMSAY CLOSE,69.48,Poor (<75),Guildhall Ward
REDENESS STREET,89.14,Fair (75-89),Guildhall Ward
ROSE STREET,96.03,Excellent (95-100),Guildhall Ward
ROSEMARY COURT,89.56,Fair (75-89),Guildhall Ward
ROSEMARY PLACE,90.86,Good (90-94),Guildhall Ward
SCAIFE GARDENS,95.89,Excellent (95-100),Guildhall Ward
SCAIFE STREET,39.37,Poor (<75),Guildhall Ward
SKELDERGATE BRIDGE,74.84,Poor (<75),Guildhall Ward
SPEN LANE,74.03,Poor (<75),Guildhall Ward
SPURRIERGATE,71.32,Poor (<75),Guildhall Ward
ST ANDREWGATE,30.15,Poor (<75),Guildhall Ward
ST DENYS ROAD,0.09,Poor (<75),Guildhall Ward
ST JOHNS CRESCENT,81.94,Fair (75-89),Guildhall Ward
ST JOHNS STREET,56.86,Poor (<75),Guildhall Ward
ST LEONARDS PLACE,66.73,Poor (<75),Guildhall Ward
ST MARYS,54.79,Poor (<75),Guildhall Ward
ST MAURICES ROAD,96.48,Excellent (95-100),Guildhall Ward
ST SAVIOURGATE,27.75,Poor (<75),Guildhall Ward
ST SAVIOURS PLACE,17.15,Poor (<75),Guildhall Ward
ST THOMAS PLACE,71.67,Poor (<75),Guildhall Ward
STANLEY STREET,69.06,Poor (<75),Guildhall Ward
STATION ROAD,73.00,Poor (<75),Guildhall Ward
THE STONEBOW,83.53,Fair (75-89),Guildhall Ward
THOMAS STREET,28.02,Poor (<75),Guildhall Ward
TOWER STREET,73.92,Poor (<75),Guildhall Ward
TOWNEND STREET,63.24,Poor (<75),Guildhall Ward
UNION TERRACE,87.11,Fair (75-89),Guildhall Ward
VYNER STREET,79.91,Fair (75-89),Guildhall Ward
WALMGATE,43.84,Poor (<75),Guildhall Ward
WALPOLE STREET,43.31,Poor (<75),Guildhall Ward
WARWICK STREET,56.67,Poor (<75),Guildhall Ward
WAVERLEY STREET,60.58,Poor (<75),Guildhall Ward
WHIP-MA-WHOP-MA-GATE,93.50,Good (90-94),Guildhall Ward
WHITE CROSS ROAD,15.00,Poor (<75),Guildhall Ward
WHITECROSS GARDENS,81.81,Fair (75-89),Guildhall Ward
WIGGINTON ROAD,89.83,Fair (75-89),Guildhall Ward
WIGGINTON TERRACE,92.15,Good (90-94),Guildhall Ward
ABELTON GROVE,0.00,Poor (<75),Haxby & Wigginton Ward
ACACIA GROVE,56.58,Poor (<75),Haxby & Wigginton Ward
APPLEBY GLADE,91.76,Good (90-94),Haxby & Wigginton Ward
ARENHALL CLOSE,64.45,Poor (<75),Haxby & Wigginton Ward
ASCOT ROAD,20.24,Poor (<75),Haxby & Wigginton Ward
ASH LANE,5.83,Poor (<75),Haxby & Wigginton Ward
ASHWOOD GLADE,82.39,Fair (75-89),Haxby & Wigginton Ward
BACK LANE,23.01,Poor (<75),Haxby & Wigginton Ward
BACK LANE FROM THE VILLAGE TO SOUTH LANE,24.11,Poor (<75),Haxby & Wigginton Ward
BARLEY VIEW,80.73,Fair (75-89),Haxby & Wigginton Ward
BELL CLOSE,80.95,Fair (75-89),Haxby & Wigginton Ward
BIRCH LANE,6.53,Poor (<75),Haxby & Wigginton Ward
BRECKS CLOSE,54.92,Poor (<75),Haxby & Wigginton Ward
BRIDGE CLOSE,83.22,Fair (75-89),Haxby & Wigginton Ward
BRIERGATE,88.99,Fair (75-89),Haxby & Wigginton Ward
BROAD ACRES,78.33,Fair (75-89),Haxby & Wigginton Ward
BROAD OAK LANE,91.75,Good (90-94),Haxby & Wigginton Ward
BURRILL DRIVE,63.68,Poor (<75),Haxby & Wigginton Ward
BUTT HILL,65.87,Poor (<75),Haxby & Wigginton Ward
BUTTERS CLOSE,42.79,Poor (<75),Haxby & Wigginton Ward
CALF CLOSE,62.54,Poor (<75),Haxby & Wigginton Ward
CALVERT CLOSE,75.27,Fair (75-89),Haxby & Wigginton Ward
